query_id	pmid	evidence_level	has_pdf	pdf_source	pdf_usable	usable_reason	in_chunks_v2
1022	21531871	abstract_supports_detail	yes	pdfs	yes		yes
1023	20950684	abstract_supports_detail	yes	pdfs	yes		yes
1024	28076662	abstract_supports_detail	yes	manual	yes		yes
1025	28835546	abstract_supports_detail	yes	manual	yes		yes
1026	25189617	abstract_supports_core	yes	pdfs	yes		yes
1027	21807880	abstract_supports_detail	yes	pdfs	yes		yes
1028	15527790	abstract_insufficient	yes	pdfs	yes		yes
1028	16942924	abstract_supports_core	yes	pdfs	yes		yes
1029	8089175	abstract_supports_detail	yes	pdfs	yes		yes
103	20070309	abstract_supports_detail	yes	pdfs	yes		yes
1030	8089176	abstract_supports_core	yes	pdfs	yes		yes
1031	8432731	abstract_supports_detail	yes	pdfs	yes		yes
1031	2307703	abstract_supports_core	yes	pdfs	yes		yes
1031	2060029	abstract_supports_core	yes	pdfs	yes		yes
1031	3312238	abstract_supports_core	yes	pdfs	yes		yes
1032	20159963	abstract_supports_detail	yes	pdfs	yes		yes
1033	25887420	abstract_insufficient	yes	pdfs	yes		yes
1034	22266904	abstract_supports_core	yes	pdfs	yes		yes
1035	1972546	abstract_supports_detail	yes	pdfs	yes		yes
1035	8898113	abstract_supports_detail	yes	pdfs	yes		yes
1036	19482547	abstract_insufficient	yes	pdfs	yes		yes
1037	18980612	abstract_supports_core	yes	pdfs	yes		yes
1037	16926386	abstract_insufficient	yes	pdfs	yes		yes
1038	10896781	abstract_supports_detail	yes	pdfs	yes		yes
1039	1333365	abstract_insufficient	yes	pdfs	yes		yes
104	23664307	abstract_supports_detail	yes	pdfs	yes		yes
1040	23063531	abstract_supports_detail	yes	pdfs	yes		yes
1040	21766205	abstract_supports_core	yes	pdfs	yes		yes
1041	10375515	abstract_supports_detail	no		no	no_pdf	no
1042	15367206	abstract_supports_detail	yes	pdfs	yes		yes
1043	3837179	abstract_supports_core	yes	pdfs	yes		yes
1043	2850494	abstract_supports_core	yes	pdfs	yes		yes
1043	6724136	abstract_insufficient	yes	pdfs	yes		yes
1044	3902823	abstract_insufficient	yes	pdfs	yes		yes
1045	9692967	abstract_supports_detail	yes	pdfs	yes		yes
1045	2049876	abstract_supports_core	yes	pdfs	yes		yes
1046	8436297	abstract_supports_core	yes	pdfs	yes		yes
1047	25448479	abstract_supports_core	yes	pdfs	yes		yes
1048	1423620	abstract_insufficient	yes	pdfs	yes		yes
1049	10375515	abstract_supports_detail	no		no	no_pdf	no
105	10651904	abstract_supports_core	yes	pdfs	yes		yes
1050	11831389	abstract_supports_detail	yes	pdfs	yes		yes
1051	12771188	abstract_supports_detail	yes	pdfs	yes		yes
1051	17517120	abstract_supports_core	yes	pdfs	yes		yes
1052	7929276	abstract_supports_core	yes	pdfs	yes		yes
1052	7876348	abstract_supports_core	no		no	no_pdf	no
1053	9632105	abstract_supports_core	yes	pdfs	yes		yes
1054	18636095	abstract_supports_core	yes	pdfs	yes		yes
1055	21551065	abstract_supports_detail	no		no	no_pdf	no
1056	8294041	abstract_insufficient	yes	pdfs	yes		yes
1057	9243512	abstract_insufficient	yes	pdfs	yes		yes
1058	29843387	abstract_insufficient	yes	manual	yes		yes
1058	27240981	abstract_supports_core	yes	pdfs	yes		yes
1059	10025509	abstract_supports_core	yes	pdfs	yes		yes
106	10998571	abstract_supports_core	yes	pdfs	yes		yes
1060	11553719	abstract_supports_core	yes	pdfs	yes		yes
1061	30709847	abstract_supports_core	no		no	no_pdf	no
1062	11553719	abstract_supports_core	yes	pdfs	yes		yes
1062	7593293	abstract_supports_core	no		no	no_pdf	no
1063	18636095	abstract_supports_detail	yes	pdfs	yes		yes
1064	22323285	abstract_supports_core	yes	pdfs	yes		yes
1065	2109188	abstract_supports_detail	yes	pdfs	yes		yes
1066	18636095	abstract_supports_detail	yes	pdfs	yes		yes
1067	24349132	abstract_supports_core	yes	pdfs	yes		yes
1068	27240981	abstract_supports_detail	yes	pdfs	yes		yes
1069	15509655	abstract_insufficient	yes	pdfs	yes		yes
1069	12163018	abstract_supports_core	yes	pdfs	yes		yes
107	10669414	abstract_supports_core	yes	pdfs	yes		yes
1070	16573737	abstract_insufficient	yes	pdfs	yes		yes
1071	31786060	abstract_supports_core	no		no	no_pdf	no
1071	12952073	abstract_supports_core	yes	pdfs	yes		yes
1071	15800059	abstract_supports_core	yes	pdfs	yes		yes
1071	15470506	abstract_insufficient	yes	pdfs	yes		yes
1071	24347642	abstract_supports_detail	yes	pdfs	yes		yes
1071	15908944	abstract_supports_detail	yes	pdfs	yes		yes
1071	15509655	abstract_supports_core	yes	pdfs	yes		yes
1072	15470506	abstract_supports_core	yes	pdfs	yes		yes
1072	26940518	abstract_insufficient	yes	pdfs	yes		yes
1073	22647486	abstract_supports_core	yes	pdfs	yes		yes
1074	8294042	abstract_insufficient	yes	pdfs	yes		yes
1075	16968699	abstract_supports_core	yes	pdfs	yes		yes
1076	8294042	abstract_insufficient	yes	pdfs	yes		yes
1077	30808751	abstract_supports_core	yes	manual	yes		yes
1078	20951045	abstract_supports_core	yes	pdfs	yes		yes
1078	10953006	abstract_supports_core	yes	pdfs	yes		yes
1079	8682867	abstract_supports_core	yes	pdfs	yes		yes
1080	26940518	abstract_supports_core	yes	pdfs	yes		yes
1081	16573737	abstract_supports_core	yes	pdfs	yes		yes
1082	16573737	abstract_supports_core	yes	pdfs	yes		yes
1082	26940518	abstract_insufficient	yes	pdfs	yes		yes
1083	10198067	abstract_supports_core	yes	pdfs	yes		yes
1084	10198067	abstract_supports_detail	yes	pdfs	yes		yes
1085	11201251	abstract_supports_detail	yes	pdfs	yes		yes
1086	32531280	abstract_insufficient	no		no	no_pdf	no
1087	15470506	abstract_supports_detail	yes	pdfs	yes		yes
1088	11201251	abstract_supports_detail	yes	pdfs	yes		yes
1088	11222756	abstract_insufficient	yes	pdfs	yes		yes
1089	26940518	abstract_supports_core	yes	pdfs	yes		yes
109	29614268	abstract_insufficient	no		no	no_pdf	no
1090	19325115	abstract_supports_core	yes	pdfs	yes		yes
1091	11201251	abstract_insufficient	yes	pdfs	yes		yes
1091	11222756	abstract_supports_core	yes	pdfs	yes		yes
1092	11222756	abstract_supports_core	yes	pdfs	yes		yes
1093	25496424	abstract_supports_detail	yes	pdfs	yes		yes
1094	27172998	abstract_supports_detail	yes	pdfs	yes		yes
1095	26744136	abstract_supports_detail	yes	pdfs	yes		yes
1096	12186953	abstract_supports_core	yes	pdfs	yes		yes
1096	7507418	abstract_supports_core	yes	pdfs	yes		yes
1097	29614268	abstract_supports_detail	no		no	no_pdf	no
1098	19284976	abstract_supports_core	yes	pdfs	yes		yes
1099	18039932	abstract_insufficient	yes	pdfs	yes		yes
11	19065153	abstract_supports_core	yes	pdfs	yes		yes
110	10791894	abstract_supports_detail	yes	pdfs	yes		yes
1100	16769729	abstract_supports_core	yes	pdfs	yes		yes
1100	12186953	abstract_insufficient	yes	pdfs	yes		yes
1101	22644079	abstract_supports_core	yes	pdfs	yes		yes
1102	18504297	abstract_supports_detail	yes	pdfs	yes		yes
1102	18948008	abstract_insufficient	yes	pdfs	yes		yes
1103	8455930	abstract_supports_core	no		no	no_pdf	no
1103	18504297	abstract_supports_core	yes	pdfs	yes		yes
1104	11606416	abstract_supports_detail	yes	pdfs	yes		yes
1105	27821733	abstract_supports_core	no		no	no_pdf	no
1105	11606416	abstract_supports_core	yes	pdfs	yes		yes
1106	17380187	abstract_supports_detail	yes	pdfs	yes		yes
1106	11500376	abstract_supports_core	yes	pdfs	yes		yes
1107	23791739	abstract_supports_detail	yes	pdfs	yes		yes
1108	11500376	abstract_insufficient	yes	pdfs	yes		yes
1109	16885420	abstract_supports_core	yes	pdfs	yes		yes
1109	11500376	abstract_supports_detail	yes	pdfs	yes		yes
111	22215733	abstract_supports_core	yes	pdfs	yes		yes
1110	15878331	abstract_supports_detail	yes	pdfs	yes		yes
1111	16735078	abstract_supports_detail	yes	pdfs	yes		yes
1112	30473004	abstract_insufficient	yes	manual	yes		yes
1112	24282234	abstract_supports_core	yes	pdfs	yes		yes
1112	10837033	abstract_supports_core	yes	pdfs	yes		yes
1112	16086850	abstract_insufficient	yes	pdfs	yes		yes
1113	10725225	abstract_supports_detail	no		no	no_pdf	no
1113	20833893	abstract_supports_detail	yes	pdfs	yes		yes
1114	2644652	abstract_insufficient	yes	pdfs	yes		yes
1114	1703508	abstract_supports_detail	yes	pdfs	yes		yes
1114	6091907	abstract_supports_detail	yes	pdfs	yes		yes
1115	30473004	abstract_insufficient	yes	manual	yes		yes
1116	10837033	abstract_supports_detail	yes	pdfs	yes		yes
1117	17380187	abstract_supports_core	yes	pdfs	yes		yes
1118	15534002	abstract_supports_core	yes	pdfs	yes		yes
1118	16885420	abstract_insufficient	yes	pdfs	yes		yes
1118	29626371	abstract_insufficient	yes	manual	yes		yes
1119	16885420	abstract_supports_detail	yes	pdfs	yes		yes
112	30669443	abstract_insufficient	yes	manual	yes		yes
1120	15143344	abstract_supports_detail	yes	pdfs	yes		yes
1121	2154684	abstract_supports_core	yes	pdfs	yes		yes
1121	10837033	abstract_insufficient	yes	pdfs	yes		yes
1121	2644652	abstract_supports_detail	yes	pdfs	yes		yes
1122	27960076	abstract_supports_core	no		no	no_pdf	no
1122	30967009	abstract_supports_core	yes	manual	yes		yes
1123	9245789	abstract_supports_detail	yes	pdfs	yes		yes
1124	15534002	abstract_supports_core	yes	pdfs	yes		yes
1125	23843627	abstract_supports_core	yes	pdfs	yes		yes
1125	15194808	abstract_insufficient	yes	pdfs	yes		yes
1126	10652263	abstract_insufficient	no		no	no_pdf	no
1126	8290260	abstract_supports_detail	no		no	no_pdf	no
1127	29847546	abstract_insufficient	yes	manual	yes		yes
1128	22768168	abstract_supports_detail	yes	pdfs	yes		yes
1129	16495312	abstract_supports_detail	yes	pdfs	yes		yes
113	57116	abstract_supports_detail	yes	pdfs	yes		yes
1130	10373524	abstract_insufficient	yes	pdfs	yes		yes
1131	15950752	abstract_supports_detail	yes	pdfs	yes		yes
1132	15883042	abstract_supports_detail	yes	pdfs	yes		yes
1133	9435289	abstract_supports_core	no		no	no_pdf	no
1134	10488068	abstract_supports_detail	yes	pdfs	yes		yes
1135	25887420	abstract_insufficient	yes	pdfs	yes		yes
1136	25131297	abstract_supports_detail	yes	pdfs	yes		yes
1137	15358773	abstract_supports_detail	yes	pdfs	yes		yes
1138	22239817	abstract_supports_detail	yes	pdfs	yes		yes
1139	22386315	abstract_supports_detail	yes	pdfs	yes		yes
114	8244981	abstract_supports_detail	yes	pdfs	yes		yes
1140	29440238	abstract_supports_detail	yes	manual	yes		yes
1141	27125566	abstract_supports_detail	yes	pdfs	yes		yes
1142	23938384	abstract_supports_detail	yes	pdfs	yes		yes
1143	24499792	abstract_supports_core	yes	pdfs	yes		yes
1144	10473630	abstract_supports_detail	yes	pdfs	yes		yes
1145	3029131	abstract_supports_core	yes	pdfs	yes		yes
1145	7806572	abstract_supports_core	yes	pdfs	yes		yes
1147	31016257	abstract_supports_detail	yes	manual	yes		yes
1148	20348387	abstract_supports_core	yes	pdfs	yes		yes
1149	17069655	abstract_supports_detail	yes	pdfs	yes		yes
115	24006265	abstract_supports_detail	yes	pdfs	yes		yes
1150	16876997	abstract_supports_core	yes	pdfs	yes		yes
1151	15679845	abstract_supports_detail	yes	pdfs	yes		yes
1152	11330860	abstract_supports_detail	no		no	no_pdf	no
1153	8643519	abstract_supports_core	yes	pdfs	yes		yes
1154	6299402	abstract_supports_detail	yes	pdfs	yes		yes
1155	22219373	abstract_supports_core	yes	pdfs	yes		yes
1156	11728467	abstract_supports_core	yes	pdfs	yes		yes
1157	20530573	abstract_supports_detail	yes	pdfs	yes		yes
1159	15470253	abstract_insufficient	yes	pdfs	yes		yes
116	10393118	abstract_supports_core	no		no	no_pdf	no
116	9200609	abstract_insufficient	yes	pdfs	yes		yes
1160	12117815	abstract_supports_detail	no		no	no_pdf	no
1161	15470246	abstract_supports_detail	yes	pdfs	yes		yes
1162	9582274	abstract_supports_core	yes	pdfs	yes		yes
1163	9525920	abstract_supports_core	yes	pdfs	yes		yes
1163	8280098	abstract_insufficient	yes	pdfs	yes		yes
1164	25448698	abstract_supports_detail	yes	pdfs	yes		yes
1165	22575510	abstract_supports_detail	yes	pdfs	yes		yes
1166	11481037	abstract_insufficient	yes	pdfs	yes		yes
1167	10744862	abstract_supports_detail	yes	pdfs	yes		yes
1168	24119059	abstract_supports_detail	yes	pdfs	yes		yes
1169	24373846	abstract_supports_detail	yes	pdfs	yes		yes
117	29789591	abstract_insufficient	no		no	no_pdf	no
1170	16810325	abstract_supports_detail	yes	pdfs	yes		yes
1170	17150370	abstract_supports_core	yes	pdfs	yes		yes
1171	21700835	abstract_insufficient	yes	pdfs	yes		yes
1171	16386729	abstract_supports_core	yes	pdfs	yes		yes
1172	32745097	abstract_supports_detail	no		no	no_pdf	no
1173	19635129	abstract_supports_core	yes	pdfs	yes		yes
1174	9582328	abstract_supports_detail	yes	pdfs	yes		yes
1175	15236669	abstract_insufficient	yes	pdfs	yes		yes
1176	17259634	abstract_supports_core	yes	pdfs	yes		yes
1177	20668166	abstract_supports_detail	yes	pdfs	yes		yes
1178	15643073	abstract_supports_detail	yes	pdfs	yes		yes
1179	30808751	abstract_supports_detail	yes	manual	yes		yes
118	1824843	abstract_supports_detail	yes	pdfs	yes		yes
118	7862106	abstract_supports_detail	yes	pdfs	yes		yes
1180	27528044	abstract_supports_detail	yes	pdfs	yes		yes
1181	8999904	abstract_supports_core	yes	pdfs	yes		yes
1181	8999903	abstract_supports_core	yes	pdfs	yes		yes
1182	20348387	abstract_supports_detail	yes	pdfs	yes		yes
1183	16107728	abstract_supports_detail	yes	pdfs	yes		yes
1184	8787732	abstract_supports_detail	no		no	no_pdf	no
1185	11090633	abstract_insufficient	yes	pdfs	yes		yes
1185	11818526	abstract_supports_detail	yes	pdfs	yes		yes
1186	22623154	abstract_supports_core	yes	pdfs	yes		yes
1187	18768936	abstract_supports_core	yes	pdfs	yes		yes
1189	12913271	abstract_supports_core	yes	pdfs	yes		yes
119	16762449	abstract_insufficient	yes	pdfs	yes		yes
1190	7844172	abstract_insufficient	no		no	no_pdf	no
1190	9692967	abstract_supports_core	yes	pdfs	yes		yes
1190	17416892	abstract_supports_core	yes	pdfs	yes		yes
1191	30378390	abstract_supports_detail	no		no	no_pdf	no
1192	15059942	abstract_insufficient	yes	pdfs	yes		yes
1193	2010032	abstract_supports_core	yes	pdfs	yes		yes
1193	1592257	abstract_supports_detail	yes	pdfs	yes		yes
1194	22699506	abstract_supports_detail	yes	pdfs	yes		yes
1195	10704840	abstract_supports_core	yes	pdfs	yes		yes
1196	9576830	abstract_supports_detail	yes	pdfs	yes		yes
1197	1692841	abstract_supports_core	yes	pdfs	yes		yes
1198	26999214	abstract_supports_detail	yes	pdfs	yes		yes
1199	30029002	abstract_supports_core	no		no	no_pdf	no
12	2049880	abstract_supports_core	yes	pdfs	yes		yes
12	7496377	abstract_supports_core	yes	pdfs	yes		yes
120	7657724	abstract_supports_core	no		no	no_pdf	no
1200	12204259	abstract_supports_core	yes	pdfs	yes		yes
1200	9729488	abstract_supports_core	no		no	no_pdf	no
1200	11437439	abstract_supports_core	yes	pdfs	yes		yes
1201	21438914	abstract_supports_detail	yes	pdfs	yes		yes
1202	15878705	abstract_insufficient	yes	pdfs	yes		yes
1203	17997595	abstract_supports_detail	yes	pdfs	yes		yes
1204	26246495	abstract_insufficient	no		no	no_pdf	no
1205	1670774	abstract_insufficient	yes	pdfs	yes		yes
1205	7821221	abstract_supports_detail	no		no	no_pdf	no
1206	7937993	abstract_supports_core	yes	pdfs	yes		yes
1206	1312226	abstract_supports_detail	yes	pdfs	no	low_chars_per_page	no
1206	7713325	abstract_insufficient	yes	pdfs	yes		yes
1207	20351273	abstract_supports_detail	yes	pdfs	yes		yes
1208	12802059	abstract_supports_core	yes	pdfs	yes		yes
1209	30710153	abstract_supports_detail	no		no	no_pdf	no
121	7328669	abstract_supports_detail	yes	pdfs	yes		yes
121	3934167	abstract_supports_detail	yes	pdfs	yes		yes
1210	10591622	abstract_supports_detail	no		no	no_pdf	no
1211	11683490	abstract_supports_detail	yes	pdfs	yes		yes
1212	31128470	abstract_insufficient	no		no	no_pdf	no
1212	16495217	abstract_supports_core	yes	pdfs	yes		yes
1213	5344104	abstract_supports_detail	yes	pdfs	yes		yes
1214	22944283	abstract_supports_core	yes	pdfs	yes		yes
1215	12756178	abstract_supports_detail	yes	pdfs	yes		yes
1216	21602484	abstract_supports_detail	yes	pdfs	yes		yes
1217	7744252	abstract_insufficient	yes	pdfs	yes		yes
1218	24521843	abstract_supports_detail	no		no	no_pdf	no
1219	19037099	abstract_supports_detail	yes	pdfs	yes		yes
122	3149564	abstract_supports_detail	yes	pdfs	yes		yes
1220	26906738	abstract_supports_detail	yes	pdfs	yes		yes
1221	30808751	abstract_supports_detail	yes	manual	yes		yes
1222	18408056	abstract_supports_detail	yes	pdfs	yes		yes
1223	18948008	abstract_supports_core	yes	pdfs	yes		yes
1224	18334553	abstract_supports_detail	yes	pdfs	yes		yes
1225	32531280	abstract_supports_core	no		no	no_pdf	no
1226	26940518	abstract_insufficient	yes	pdfs	yes		yes
1226	9802899	abstract_supports_core	yes	pdfs	yes		yes
1227	24930026	abstract_supports_core	yes	pdfs	yes		yes
1228	23135995	abstract_supports_detail	yes	pdfs	yes		yes
1229	24331584	abstract_supports_core	yes	pdfs	yes		yes
123	11071787	abstract_supports_core	yes	pdfs	yes		yes
1230	23548898	abstract_supports_detail	yes	pdfs	yes		yes
1231	30785840	abstract_supports_detail	yes	manual	yes		yes
1232	29440579	abstract_supports_detail	yes	manual	yes		yes
1233	26940518	abstract_insufficient	yes	pdfs	yes		yes
1233	23363311	abstract_supports_core	yes	pdfs	yes		yes
1234	18334553	abstract_supports_detail	yes	pdfs	yes		yes
1235	24513283	abstract_supports_detail	yes	pdfs	yes		yes
1236	29847546	abstract_insufficient	yes	manual	yes		yes
1237	17031003	abstract_supports_core	yes	pdfs	yes		yes
1238	19833731	abstract_supports_core	yes	pdfs	yes		yes
1239	15548420	abstract_supports_core	yes	pdfs	yes		yes
1239	16512674	abstract_supports_core	yes	pdfs	yes		yes
1239	25496424	abstract_insufficient	yes	pdfs	yes		yes
124	31100984	abstract_supports_detail	yes	manual	yes		yes
1240	12456012	abstract_insufficient	yes	pdfs	yes		yes
1241	23664307	abstract_insufficient	yes	pdfs	yes		yes
1242	25887420	abstract_insufficient	yes	pdfs	yes		yes
1243	23477311	abstract_supports_detail	yes	pdfs	yes		yes
1243	24490801	abstract_supports_core	yes	pdfs	yes		yes
1243	21700835	abstract_supports_core	yes	pdfs	yes		yes
1244	19285397	abstract_supports_core	yes	pdfs	yes		yes
1245	26359303	abstract_supports_detail	yes	pdfs	yes		yes
1246	24490801	abstract_supports_detail	yes	pdfs	yes		yes
1246	23477311	abstract_supports_detail	yes	pdfs	yes		yes
1246	21700835	abstract_supports_core	yes	pdfs	yes		yes
1247	24426151	abstract_supports_core	yes	pdfs	yes		yes
1248	24986648	abstract_supports_core	yes	pdfs	yes		yes
1249	11807934	abstract_insufficient	yes	pdfs	yes		yes
1250	8344435	abstract_supports_detail	yes	pdfs	yes		yes
1251	25887420	abstract_insufficient	yes	pdfs	yes		yes
1252	20949015	abstract_supports_detail	yes	pdfs	yes		yes
1253	9382870	abstract_supports_core	yes	pdfs	yes		yes
1254	10556070	abstract_supports_detail	no		no	no_pdf	no
1255	1333842	abstract_supports_core	yes	pdfs	yes		yes
1256	30617109	abstract_insufficient	yes	manual	yes		yes
1256	16672332	abstract_insufficient	yes	pdfs	yes		yes
1257	23135995	abstract_supports_detail	yes	pdfs	yes		yes
1258	22264729	abstract_supports_core	yes	pdfs	yes		yes
1259	19794886	abstract_supports_core	yes	pdfs	yes		yes
126	30462573	abstract_supports_core	yes	manual	yes		yes
1260	20457612	abstract_supports_detail	yes	pdfs	yes		yes
1261	26315268	abstract_supports_detail	yes	pdfs	yes		yes
1262	17040207	abstract_insufficient	yes	pdfs	yes		yes
1263	11884033	abstract_supports_detail	yes	pdfs	yes		yes
1264	14686953	abstract_insufficient	yes	pdfs	yes		yes
1264	17951519	abstract_supports_detail	yes	pdfs	yes		yes
1265	1555240	abstract_supports_core	yes	pdfs	yes		yes
1266	14597204	abstract_supports_detail	yes	pdfs	yes		yes
1267	9802899	abstract_supports_core	yes	pdfs	yes		yes
1268	12456012	abstract_insufficient	yes	pdfs	yes		yes
1269	6319183	abstract_supports_detail	yes	pdfs	yes		yes
1269	6091559	abstract_supports_detail	yes	pdfs	yes		yes
127	11807934	abstract_insufficient	yes	pdfs	yes		yes
1270	15548420	abstract_insufficient	yes	pdfs	yes		yes
1271	10491202	abstract_supports_core	yes	pdfs	yes		yes
1271	19343174	abstract_insufficient	yes	pdfs	yes		yes
1271	21076008	abstract_supports_core	yes	pdfs	yes		yes
1272	24867644	abstract_supports_core	yes	pdfs	yes		yes
1273	11208126	abstract_supports_detail	yes	pdfs	yes		yes
1274	3622778	abstract_supports_detail	yes	pdfs	yes		yes
1275	3785182	abstract_supports_core	yes	pdfs	yes		yes
1275	1493336	abstract_insufficient	yes	pdfs	yes		yes
1276	9843585	abstract_supports_core	yes	pdfs	yes		yes
1276	18783170	abstract_insufficient	no		no	no_pdf	no
1277	29626371	abstract_supports_detail	yes	manual	yes		yes
1278	20923972	abstract_supports_detail	yes	pdfs	yes		yes
1279	7729526	abstract_supports_detail	yes	pdfs	yes		yes
128	18634783	abstract_insufficient	yes	pdfs	yes		yes
128	21179207	abstract_supports_detail	yes	pdfs	yes		yes
1280	30462573	abstract_supports_core	yes	manual	yes		yes
1281	20951045	abstract_supports_core	yes	pdfs	yes		yes
1282	15050379	abstract_supports_core	yes	pdfs	yes		yes
1283	19466752	abstract_supports_detail	yes	pdfs	yes		yes
1284	15962002	abstract_insufficient	yes	pdfs	yes		yes
1285	14551185	abstract_supports_core	yes	pdfs	yes		yes
1286	11208126	abstract_supports_detail	yes	pdfs	yes		yes
1287	12871696	abstract_insufficient	yes	pdfs	yes		yes
1288	17553489	abstract_supports_core	yes	pdfs	yes		yes
1289	11425877	abstract_supports_detail	yes	pdfs	yes		yes
129	16781008	abstract_insufficient	yes	pdfs	yes		yes
129	21179207	abstract_insufficient	yes	pdfs	yes		yes
1290	1605855	abstract_supports_detail	yes	pdfs	yes		yes
1291	12802064	abstract_supports_core	yes	pdfs	yes		yes
1292	12062103	abstract_supports_core	yes	pdfs	yes		yes
1292	12062104	abstract_supports_core	yes	pdfs	yes		yes
1293	24403600	abstract_supports_detail	yes	pdfs	yes		yes
1294	21602484	abstract_supports_detail	yes	pdfs	yes		yes
1295	14732403	abstract_insufficient	yes	pdfs	yes		yes
1296	9226443	abstract_supports_detail	no		no	no_pdf	no
1298	8089184	abstract_supports_detail	yes	pdfs	yes		yes
1298	7790361	abstract_supports_core	yes	pdfs	yes		yes
1299	12464622	abstract_supports_core	yes	pdfs	yes		yes
13	2926809	abstract_supports_core	yes	pdfs	yes		yes
130	19344251	abstract_supports_detail	yes	pdfs	yes		yes
130	15496465	abstract_supports_detail	yes	pdfs	yes		yes
1300	21169559	abstract_supports_detail	yes	pdfs	yes		yes
1301	24267687	abstract_insufficient	yes	pdfs	yes		yes
1302	18339368	abstract_supports_detail	yes	pdfs	yes		yes
1303	15947191	abstract_insufficient	yes	pdfs	yes		yes
1304	17601746	abstract_supports_detail	yes	pdfs	yes		yes
1304	17562315	abstract_supports_detail	yes	pdfs	yes		yes
1305	1448100	abstract_supports_detail	yes	pdfs	yes		yes
1306	14704357	abstract_supports_detail	yes	pdfs	yes		yes
1307	20573979	abstract_supports_detail	no		no	no_pdf	no
1308	15947191	abstract_supports_detail	yes	pdfs	yes		yes
1309	17004322	abstract_supports_detail	yes	pdfs	yes		yes
131	15075287	abstract_insufficient	yes	pdfs	yes		yes
1310	11163223	abstract_insufficient	yes	pdfs	yes		yes
1310	9446571	abstract_supports_core	yes	pdfs	yes		yes
1311	21536833	abstract_supports_core	yes	pdfs	yes		yes
1311	21807880	abstract_supports_core	yes	pdfs	yes		yes
1312	9486804	abstract_insufficient	no		no	no_pdf	no
1313	12134070	abstract_supports_core	yes	pdfs	yes		yes
1314	11336701	abstract_supports_core	yes	pdfs	yes		yes
1315	23665473	abstract_supports_core	yes	pdfs	yes		yes
1316	15332174	abstract_supports_core	yes	pdfs	yes		yes
1317	12697064	abstract_supports_detail	yes	pdfs	yes		yes
1318	15993406	abstract_supports_core	yes	pdfs	yes		yes
1319	1885577	abstract_supports_detail	yes	pdfs	yes		yes
132	15131307	abstract_supports_core	yes	pdfs	yes		yes
132	9843585	abstract_supports_core	yes	pdfs	yes		yes
1320	15086784	abstract_supports_core	yes	pdfs	yes		yes
1321	12890554	abstract_supports_detail	yes	pdfs	yes		yes
1322	10504413	abstract_supports_core	yes	pdfs	yes		yes
1323	30209138	abstract_supports_detail	no		no	no_pdf	no
1324	10898960	abstract_supports_detail	yes	pdfs	yes		yes
1324	10725352	abstract_supports_detail	yes	pdfs	yes		yes
1325	18951891	abstract_supports_detail	yes	pdfs	yes		yes
